frequency table
clock speed = 1843200.0
frequency: 462 hz, coarse = 0, fine = 249
frequency: 463 hz, coarse = 0, fine = 249
frequency: 464 hz, coarse = 0, fine = 248
frequency: 465 hz, coarse = 0, fine = 248
frequency: 466 hz, coarse = 0, fine = 247
frequency: 467 hz, coarse = 0, fine = 247
frequency: 468 hz, coarse = 0, fine = 246
frequency: 469 hz, coarse = 0, fine = 246
frequency: 470 hz, coarse = 0, fine = 245
frequency: 471 hz, coarse = 0, fine = 245
frequency: 472 hz, coarse = 0, fine = 244
frequency: 473 hz, coarse = 0, fine = 244
frequency: 474 hz, coarse = 0, fine = 243
frequency: 475 hz, coarse = 0, fine = 243
frequency: 476 hz, coarse = 0, fine = 242
frequency: 477 hz, coarse = 0, fine = 242
frequency: 478 hz, coarse = 0, fine = 241
frequency: 479 hz, coarse = 0, fine = 241
frequency: 480 hz, coarse = 0, fine = 240
frequency: 481 hz, coarse = 0, fine = 240
frequency: 482 hz, coarse = 0, fine = 239
frequency: 483 hz, coarse = 0, fine = 239
frequency: 484 hz, coarse = 0, fine = 238
frequency: 485 hz, coarse = 0, fine = 238
frequency: 486 hz, coarse = 0, fine = 237
frequency: 487 hz, coarse = 0, fine = 237
frequency: 488 hz, coarse = 0, fine = 236
frequency: 489 hz, coarse = 0, fine = 236
frequency: 490 hz, coarse = 0, fine = 235
frequency: 491 hz, coarse = 0, fine = 235
frequency: 492 hz, coarse = 0, fine = 234
frequency: 493 hz, coarse = 0, fine = 234
frequency: 494 hz, coarse = 0, fine = 233
frequency: 495 hz, coarse = 0, fine = 233
frequency: 496 hz, coarse = 0, fine = 232
frequency: 497 hz, coarse = 0, fine = 232
frequency: 498 hz, coarse = 0, fine = 231
frequency: 499 hz, coarse = 0, fine = 231
frequency: 500 hz, coarse = 0, fine = 230
frequency: 501 hz, coarse = 0, fine = 230
frequency: 502 hz, coarse = 0, fine = 229
frequency: 503 hz, coarse = 0, fine = 229
frequency: 504 hz, coarse = 0, fine = 229
frequency: 505 hz, coarse = 0, fine = 228
frequency: 506 hz, coarse = 0, fine = 228
frequency: 507 hz, coarse = 0, fine = 227
frequency: 508 hz, coarse = 0, fine = 227
frequency: 509 hz, coarse = 0, fine = 226
frequency: 510 hz, coarse = 0, fine = 226
frequency: 511 hz, coarse = 0, fine = 225
frequency: 512 hz, coarse = 0, fine = 225
frequency: 513 hz, coarse = 0, fine = 225
frequency: 514 hz, coarse = 0, fine = 224
frequency: 515 hz, coarse = 0, fine = 224
frequency: 516 hz, coarse = 0, fine = 223
frequency: 517 hz, coarse = 0, fine = 223
frequency: 518 hz, coarse = 0, fine = 222
frequency: 519 hz, coarse = 0, fine = 222
frequency: 520 hz, coarse = 0, fine = 222
frequency: 521 hz, coarse = 0, fine = 221
frequency: 522 hz, coarse = 0, fine = 221
frequency: 523 hz, coarse = 0, fine = 220
frequency: 524 hz, coarse = 0, fine = 220
frequency: 525 hz, coarse = 0, fine = 219
frequency: 526 hz, coarse = 0, fine = 219
frequency: 527 hz, coarse = 0, fine = 219
frequency: 528 hz, coarse = 0, fine = 218
frequency: 529 hz, coarse = 0, fine = 218
frequency: 530 hz, coarse = 0, fine = 217
frequency: 531 hz, coarse = 0, fine = 217
frequency: 532 hz, coarse = 0, fine = 217
frequency: 533 hz, coarse = 0, fine = 216
frequency: 534 hz, coarse = 0, fine = 216
frequency: 535 hz, coarse = 0, fine = 215
frequency: 536 hz, coarse = 0, fine = 215
frequency: 537 hz, coarse = 0, fine = 215
frequency: 538 hz, coarse = 0, fine = 214
frequency: 539 hz, coarse = 0, fine = 214
frequency: 540 hz, coarse = 0, fine = 213
frequency: 541 hz, coarse = 0, fine = 213
frequency: 542 hz, coarse = 0, fine = 213
frequency: 543 hz, coarse = 0, fine = 212
frequency: 544 hz, coarse = 0, fine = 212
frequency: 545 hz, coarse = 0, fine = 211
frequency: 546 hz, coarse = 0, fine = 211
frequency: 547 hz, coarse = 0, fine = 211
frequency: 548 hz, coarse = 0, fine = 210
frequency: 549 hz, coarse = 0, fine = 210
frequency: 550 hz, coarse = 0, fine = 209
frequency: 551 hz, coarse = 0, fine = 209
frequency: 552 hz, coarse = 0, fine = 209
frequency: 553 hz, coarse = 0, fine = 208
frequency: 554 hz, coarse = 0, fine = 208
frequency: 555 hz, coarse = 0, fine = 208
frequency: 556 hz, coarse = 0, fine = 207
frequency: 557 hz, coarse = 0, fine = 207
frequency: 558 hz, coarse = 0, fine = 206
frequency: 559 hz, coarse = 0, fine = 206
frequency: 560 hz, coarse = 0, fine = 206
frequency: 561 hz, coarse = 0, fine = 205
frequency: 562 hz, coarse = 0, fine = 205
frequency: 563 hz, coarse = 0, fine = 205
frequency: 564 hz, coarse = 0, fine = 204
frequency: 565 hz, coarse = 0, fine = 204
frequency: 566 hz, coarse = 0, fine = 204
frequency: 567 hz, coarse = 0, fine = 203
frequency: 568 hz, coarse = 0, fine = 203
frequency: 569 hz, coarse = 0, fine = 202
frequency: 570 hz, coarse = 0, fine = 202
frequency: 571 hz, coarse = 0, fine = 202
frequency: 572 hz, coarse = 0, fine = 201
frequency: 573 hz, coarse = 0, fine = 201
frequency: 574 hz, coarse = 0, fine = 201
frequency: 575 hz, coarse = 0, fine = 200
frequency: 576 hz, coarse = 0, fine = 200
frequency: 577 hz, coarse = 0, fine = 200
frequency: 578 hz, coarse = 0, fine = 199
frequency: 579 hz, coarse = 0, fine = 199
frequency: 580 hz, coarse = 0, fine = 199
frequency: 581 hz, coarse = 0, fine = 198
frequency: 582 hz, coarse = 0, fine = 198
frequency: 583 hz, coarse = 0, fine = 198
frequency: 584 hz, coarse = 0, fine = 197
frequency: 585 hz, coarse = 0, fine = 197
frequency: 586 hz, coarse = 0, fine = 197
frequency: 587 hz, coarse = 0, fine = 196
frequency: 588 hz, coarse = 0, fine = 196
frequency: 589 hz, coarse = 0, fine = 196
frequency: 590 hz, coarse = 0, fine = 195
frequency: 591 hz, coarse = 0, fine = 195
frequency: 592 hz, coarse = 0, fine = 195
frequency: 593 hz, coarse = 0, fine = 194
frequency: 594 hz, coarse = 0, fine = 194
frequency: 595 hz, coarse = 0, fine = 194
frequency: 596 hz, coarse = 0, fine = 193
frequency: 597 hz, coarse = 0, fine = 193
frequency: 598 hz, coarse = 0, fine = 193
frequency: 599 hz, coarse = 0, fine = 192
frequency: 600 hz, coarse = 0, fine = 192
frequency: 601 hz, coarse = 0, fine = 192
frequency: 602 hz, coarse = 0, fine = 191
frequency: 603 hz, coarse = 0, fine = 191
frequency: 604 hz, coarse = 0, fine = 191
frequency: 605 hz, coarse = 0, fine = 190
frequency: 606 hz, coarse = 0, fine = 190
frequency: 607 hz, coarse = 0, fine = 190
frequency: 608 hz, coarse = 0, fine = 189
frequency: 609 hz, coarse = 0, fine = 189
frequency: 610 hz, coarse = 0, fine = 189
frequency: 611 hz, coarse = 0, fine = 189
frequency: 612 hz, coarse = 0, fine = 188
frequency: 613 hz, coarse = 0, fine = 188
frequency: 614 hz, coarse = 0, fine = 188
frequency: 615 hz, coarse = 0, fine = 187
frequency: 616 hz, coarse = 0, fine = 187
frequency: 617 hz, coarse = 0, fine = 187
frequency: 618 hz, coarse = 0, fine = 186
frequency: 619 hz, coarse = 0, fine = 186
frequency: 620 hz, coarse = 0, fine = 186
frequency: 621 hz, coarse = 0, fine = 186
frequency: 622 hz, coarse = 0, fine = 185
frequency: 623 hz, coarse = 0, fine = 185
frequency: 624 hz, coarse = 0, fine = 185
